Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.294,24.818,26.758,29.576,31.265,30.565,28.259,27.694,28.631,27.337,25.143,22.99
1902,23.289,24.498,27.123,29.695,32.2,31.265,28.456,28.547,27.723,27.329,24.812,23.385
1903,23.4,24.863,27.149,29.54,30.732,30.62,27.8,27.809,27.631,26.928,24.151,22.553
1904,22.993,23.847,26.581,29.77,30.822,29.951,28.372,28.262,27.834,27.002,24.753,22.656
1905,22.939,24.19,26.966,29.148,30.936,31.128,28.934,27.767,27.547,27.178,25.243,22.819
1906,24.131,25.36,26.299,30.04,32.418,29.765,28.326,27.652,28.182,27.318,25.046,23.8
1907,23.138,24.773,26.656,28.616,31.24,29.921,28.252,27.004,28.246,27.39,25.579,22.865
1908,22.257,24.458,26.555,29.978,31.778,31.375,28.356,27.379,27.838,27.108,24.342,22.144
1909,23.452,24.893,26.849,28.468,31.211,29.469,28.222,27.429,27.587,27.554,25.718,23.799
1910,23.587,24.352,26.701,29.709,31.686,30.775,28.152,28.148,28.167,27.384,23.553,22.028
1911,23.593,23.901,26.755,29.649,31.749,29.946,28.663,27.808,28.143,27.335,25.31,23.062
1912,23.129,25.465,27.676,29.399,31.964,31.734,27.983,27.325,27.804,27.258,24.528,22.107
1913,22.349,25.087,26.989,29.827,31.408,29.902,27.972,28.522,28.567,26.887,24.877,23.368
1914,22.57,25.072,27.012,28.279,31.054,29.759,28.014,27.257,27.805,27.229,25.177,23.612
1915,23.04,24.651,26.554,29.453,31.821,30.68,28.632,27.825,27.598,27.445,25.642,22.479
1916,23.242,25.378,26.842,29.652,31.624,29.247,27.696,28.01,27.998,26.801,24.786,22.482
1917,22.691,24.28,26.026,29.115,30.325,28.998,28.277,27.841,27.541,26.769,24.423,22.535
1918,22.61,23.848,26.464,29.273,30.485,29.643,29.088,28.023,28.66,27.539,25.483,23.574
1919,24.196,25.88,27.479,29.928,31.929,29.731,28.574,28.762,28.281,27.007,25.061,23.195
1920,23.334,25.2,27.58,29.648,31.652,30.782,29.46,28.996,28.891,27.754,25.616,22.869
1921,23.677,24.697,27.556,29.622,33.118,31.063,28.48,28.333,28.093,26.596,23.877,22.939
1922,23.036,24.806,27.559,30.085,32.078,31.088,28.758,29.072,28.263,26.946,25.188,22.448
1923,22.434,24.443,26.362,29.974,31.83,32.419,28.651,28.946,27.627,26.881,24.924,23.265
1924,23.07,25.631,27.26,30.605,32.096,31.39,28.909,28.411,27.488,27.448,24.58,22.596
1925,22.898,24.416,26.968,29.735,31.069,30.163,28.323,27.982,28.314,26.713,25.093,22.524
1926,23.374,24.759,27.104,29.373,31.55,32.187,28.628,28.06,27.999,27.195,24.55,22.987
1927,24.023,25.127,27.704,30.274,32.21,30.406,28.354,28.24,28.333,27.335,24.413,23.198
1928,22.873,25.042,26.846,29.514,32.514,30.859,28.152,28.619,28.12,27.081,25.227,23.501
1929,23.963,24.252,26.851,29.642,32.295,30.46,29.023,28.422,27.938,26.947,24.709,23.659
1930,23.261,23.624,26.706,29.382,31.169,30.387,28.957,28.358,27.868,26.763,24.202,23.203
1931,22.507,24.557,26.731,29.916,31.73,30.85,27.937,28.406,27.845,26.927,24.307,23.261
1932,22.054,24.03,27.234,29.602,30.707,30.586,28.013,28.032,28.143,27.529,25.276,22.77
1933,23.001,24.845,26.257,29.153,30.209,29.666,28.144,27.445,28.267,26.675,24.766,22.819
1934,22.315,24.058,26.48,29.603,31.992,30.568,28.011,27.593,28.001,26.816,23.673,22.438
1935,22.747,24.45,26.546,29.094,32.227,30.602,28.406,28.137,27.806,27.337,24.289,23.31
1936,24.426,24.433,26.432,29.533,31.276,29.31,28.687,27.762,28.166,27.119,25.241,23.363
1937,22.54,25.017,26.654,29.399,31.685,31.136,28.295,28.345,28.248,26.722,25.014,22.334
1938,23.851,24.993,27.464,29.597,32.09,28.886,27.862,28.033,27.525,26.846,23.75,21.834
1939,22.432,23.738,26.213,29.391,32.085,31.296,28.343,28.48,28.366,27.081,24.196,22.632
1940,21.476,24.481,26.706,29.263,31.519,30.186,27.896,27.828,28.137,27.041,25.684,23.553
1941,23.976,25.177,28.413,31.371,32.58,29.716,29.047,28.608,27.947,27.454,24.379,24.115
1942,22.992,24.487,26.867,29.825,33.237,31.358,28.495,27.87,28.281,27.07,24.741,23.576
1943,23.846,23.429,27.234,29.692,31.289,29.635,28.175,28.1,27.805,27.051,25.273,22.582
1944,22.767,25.084,26.209,29.426,32.197,31.762,27.735,28.1,27.83,27.248,24.943,22.964
1945,22.763,24.736,27.501,29.603,33.112,31.836,27.897,27.998,27.544,26.996,24.358,21.794
1946,21.497,23.689,28.044,29.592,32.908,30.119,28.241,27.869,28.359,27.852,25.913,24.101
1947,23.917,24.298,28.032,31.881,32.862,32.075,27.818,27.862,27.875,26.977,24.69,22.902
1948,23.399,25.832,27.374,30.642,33.498,32.742,28.926,28.293,27.853,27.636,25.772,22.126
1949,22.69,24.536,27.707,30.321,32.236,30.836,27.774,28.029,27.963,27.764,24.721,22.252
1950,22.498,24.764,26.785,30.045,32.229,30.85,27.876,28.79,27.8,27.096,24.364,22.035
1951,22.701,24.431,27.387,29.978,31.735,30.392,28.623,28.407,28.672,28.645,25.716,23.294
1952,23.24,25.409,27.639,30.67,32.062,32.308,29.679,28.732,28.67,27.079,24.82,24.37
1953,23.411,25.054,28.713,30.783,34,31.93,29.186,28.192,28.293,27.412,25.025,22.87
1954,22.96,25.664,27.77,31.316,32.667,31.897,28.211,28.64,27.939,26.604,23.768,23.294
1955,22.972,25.352,27.83,30.2,31.349,31.534,28.995,27.679,28.014,27.061,23.931,22.607
1956,23.167,23.846,27.747,30.726,32.679,30.338,27.576,28.286,28.096,26.539,25.213,23.064
1957,23.68,24.919,26.893,29.654,31.985,31.673,28.833,27.641,28.907,28.026,25.241,23.797
1958,23.754,25.589,28.109,30.59,32.893,33.334,28.146,27.975,28.356,27.286,25.889,23.743
1959,23.674,25.84,27.746,30.261,32.459,30.771,28.132,27.622,28.379,27.312,24.714,22.908
1960,23.206,24.442,27.044,30.013,32.164,31.377,28.558,29.234,28.274,27.396,24.953,23.537
1961,23.341,24.875,28.324,30.688,32.334,30.501,27.615,28.166,27.618,26.726,24.699,21.962
1962,21.574,24.021,27.031,29.933,31.944,30.701,28.183,27.773,27.774,26.849,24.508,23.186
1963,22.023,23.907,27.286,28.721,31.904,30.764,28.514,27.773,28.819,27.489,25.396,23.543
1964,23.568,25.551,28.056,30.481,33.267,30.688,28.569,27.403,27.295,27.342,24.848,22.751
1965,23.353,24.897,26.691,29.087,31.453,31.78,28.704,28.474,28.383,27.882,25.624,24.213
1966,23.552,25.094,27.812,30.25,33.684,31.264,29.02,28.838,28.176,27.084,25.766,22.873
1967,23.314,24.947,26.663,29.768,32.443,31.173,28.634,27.926,28.19,26.867,24.34,23.871
1968,22.547,25.192,27.305,28.98,31.632,31.531,29.029,29.28,28.053,26.688,24.889,23.136
1969,22.868,25.229,28.137,30.493,30.481,31.129,27.874,28.044,27.916,26.776,25.222,22.556
1970,23,25.298,27.65,29.971,31.736,29.363,28.2,27.356,28.057,26.625,24.344,21.113
1971,22.664,25.465,26.862,28.918,30.696,28.805,28.844,28.038,27.737,26.445,23.488,21.699
1972,21.615,24.539,27.319,30.988,33.912,33.471,30.147,29.442,29.178,27.049,25.325,24.642
1973,24.543,26.344,28.068,31.403,33.514,32.082,29.452,28.577,28.947,27.264,24.805,23.113
1974,22.666,25.211,28.404,30.22,32.159,30.703,29.654,28.748,28.315,27.256,24.89,22.429
1975,22.494,25.613,28.372,30.718,33.631,30.605,28.327,28.639,27.298,27.367,24.216,21.928
1976,22.166,24.538,28.095,30.203,31.942,30.959,27.289,27.983,27.624,26.99,25.25,22.699
1977,22.442,25.382,28.156,29.837,31.464,31.175,29.026,28.107,28.934,27.248,26.428,23.417
1978,23.648,25.277,27.747,30.203,33.469,30.919,28.44,27.429,28.624,28.267,26.541,24.034
1979,24.016,26.321,27.811,30.729,31.808,31.372,30.549,29.576,28.611,28.171,26.487,24.51
1980,24.678,26.393,28.69,30.925,32.962,29.854,28.83,28.365,28.626,27.708,25.74,24.21
1981,23.256,25.752,27.722,30.67,32.195,31.921,29.101,28.385,28.53,27.908,25.095,23.794
1982,23.988,26.02,28.468,30.486,31.681,31.586,29.56,28.25,28.581,27.645,25.952,24.001
1983,23.814,26.744,28.837,30.541,31.97,31.908,29.257,28.355,28.016,27.513,25.143,23.584
1984,24.602,25.531,27.475,30.186,32.411,31.227,28.66,29.307,28.756,27.588,24.67,24.41
